search_term,full_name,team,tournament,matches_played,total_passes,passes_with_ff,sufficient_data
González López,Pedro González López,Spain,Euro 2024,3,92,87,True
Hernández Cascante,Rodrigo Hernández Cascante,Spain,Euro 2024,6,436,397,True
Zubimendi,Martín Zubimendi Ibáñez,Spain,Euro 2024,4,117,108,True
Vitor Machado,Vitor Machado Ferreira,Portugal,Euro 2024,4,326,294,True
Kroos,Toni Kroos,Germany,Euro 2024,5,545,478,True
Xhaka,Granit Xhaka,Switzerland,Euro 2024,5,405,375,True
Fabián Ruiz,Fabián Ruiz Peña,Spain,Euro 2024,6,436,389,True
Kanté,N'Golo Kanté,France,Euro 2024,6,323,298,True
Bellingham,Jude Bellingham,England,Euro 2024,7,374,331,True
González López,Pedro González López,Spain,Euro 2020,6,462,421,True
Frenkie,Frenkie de Jong,Netherlands,Euro 2020,4,269,244,True
Frello,Jorge Luiz Frello Filho,Italy,Euro 2020,7,520,478,True
Verratti,Marco Verratti,Italy,Euro 2020,5,424,397,True
Busquets,Sergio Busquets i Burgos,Spain,Euro 2020,4,322,291,True
Phillips,Kalvin Phillips,England,Euro 2020,7,340,314,True
